message,dispatch,response_time_minutes,priority,address,emergency_type
"medical problem at beach, come quick.",ambulance x2,7,2,"7379 Ocean View Way, San Diego, CA",Medical
???m3dicalh3r3,ambulance x1,2,2,"252 Cedar Ln, San Diego, CA",Medical
hlp  accident  beach,ambulance x1; police unit x1,8,2,"6962 Maple Ave, San Diego, CA",Accident
sos rescue beach send help,rescue unit x1,11,3,"4731 Maple Ave, San Diego, CA",Rescue
bad stuff at home natural disaster,rescue unit x2; firetruck x1,6,3,"3372 Cedar Ln, San Diego, CA",Natural Disaster
I need help immediately at the road. There's a serious natural disaster situation.,helicopter x1; rescue unit x2,10,1,"6813 Cedar Ln, San Diego, CA",Natural Disaster
"Emergency! Fire at my home. Need help ASAP, address included.",firetruck x2,8,1,"3502 Mission St, San Diego, CA",Fire
I need help immediately at the office. There's a serious crime situation.,police unit x1,7,1,"1558 Maple Ave, San Diego, CA",Crime
Uh oh. Something bad natural disaster happening at the road.,helicopter x1; rescue unit x2,4,2,"2543 Maple Ave, San Diego, CA",Natural Disaster
natural disaster?? road. hurry,rescue unit x2; firetruck x1,5,3,"4292 Oak Blvd, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe accident? at store. Need someone here.",ambulance x2; firetruck x1,5,2,"920 Maple Ave, San Diego, CA",Accident
"natural disaster problem at office, come quick.",helicopter x1; rescue unit x2,7,2,"6001 Sunset Dr, San Diego, CA",Natural Disaster
"accident problem at beach, come quick.",ambulance x1; police unit x1,8,2,"851 Elm St, San Diego, CA",Accident
sos  natural  disast3r  offic3  s3nd  h3lp,helicopter x1; rescue unit x2,5,3,"5957 Mission St, San Diego, CA",Natural Disaster
sos rescue store send help,rescue unit x1,2,3,"6205 Sunset Dr, San Diego, CA",Rescue
"Not sure what's going on, maybe fire? at home. Need someone here.",firetruck x2,5,2,"7579 Cedar Ln, San Diego, CA",Fire
"Emergency! Natural Disaster at my park. Need help ASAP, address included.",helicopter x1; rescue unit x2,7,1,"7009 Pine Rd, San Diego, CA",Natural Disaster
sos  m3dical  offic3  s3nd  h3lp,ambulance x1,9,3,"1799 Ocean View Way, San Diego, CA",Medical
"Emergency! Rescue at my park. Need help ASAP, address included.",helicopter x1; rescue unit x1,7,1,"3069 4th Ave, San Diego, CA",Rescue
bad stuff at school accident,ambulance x1; police unit x1,4,3,"2240 Mission St, San Diego, CA",Accident
bad stuff at home accident,ambulance x2; firetruck x1,8,3,"853 Maple Ave, San Diego, CA",Accident
"Please send assistance to the beach. It's a crime emergency, looks severe.",police unit x1,9,1,"8698 4th Ave, San Diego, CA",Crime
hazard?? road. hurry,hazmat unit x1; firetruck x1,7,3,"8604 Broadway, San Diego, CA",Hazard
Uh oh. Something bad hazard happening at the beach.,hazmat unit x1,6,2,"7191 Oak Blvd, San Diego, CA",Hazard
Uh oh. Something bad accident happening at the store.,ambulance x2; firetruck x1,5,2,"2535 Broadway, San Diego, CA",Accident
rescue?? home. hurry,rescue unit x1,2,3,"8383 Mission St, San Diego, CA",Rescue
"natural disaster problem at park, come quick.",rescue unit x2; firetruck x1,4,2,"8155 Sunset Dr, San Diego, CA",Natural Disaster
bad stuff at stor3 fir3,firetruck x1; ladder truck x1,1,3,"6303 Ocean View Way, San Diego, CA",Fire
"natural disaster problem at office, come quick.",helicopter x1; rescue unit x2,9,2,"7377 4th Ave, San Diego, CA",Natural Disaster
"Please send assistance to the home. It's a accident emergency, looks severe.",ambulance x2; firetruck x1,5,1,"5278 Maple Ave, San Diego, CA",Accident
sos accident beach send help,ambulance x1; police unit x1,6,3,"1781 Ocean View Way, San Diego, CA",Accident
sos accident home send help,ambulance x1; police unit x1,6,3,"1589 4th Ave, San Diego, CA",Accident
"Not sure what's going on, maybe rescue? at beach. Need someone here.",rescue unit x1,8,2,"7574 Sunset Dr, San Diego, CA",Rescue
"crime problem at school, come quick.",police unit x1,5,2,"7545 Sunset Dr, San Diego, CA",Crime
sos rescue school send help,helicopter x1; rescue unit x1,4,3,"6052 Mission St, San Diego, CA",Rescue
sos medical home send help,ambulance x1,6,3,"135 Sunset Dr, San Diego, CA",Medical
Uh oh. Something bad crime happening at the school.,police unit x2,4,2,"9073 Broadway, San Diego, CA",Crime
I need help immediately at the beach. There's a serious crime situation.,police unit x1,5,1,"2789 Mission St, San Diego, CA",Crime
Uh oh. Something bad fire happening at the school.,firetruck x1; ladder truck x1,4,2,"6804 Maple Ave, San Diego, CA",Fire
hlp crim3 road,police unit x2,7,2,"3632 Mission St, San Diego, CA",Crime
"natural disaster problem at school, come quick.",helicopter x1; rescue unit x2,5,2,"1865 Ocean View Way, San Diego, CA",Natural Disaster
Uh oh. Something bad medical happening at the beach.,ambulance x1; rescue unit x1,7,2,"2118 Mission St, San Diego, CA",Medical
plz  accid3nt  b3ach  fast,ambulance x2; firetruck x1,4,2,"171 Broadway, San Diego, CA",Accident
Uh oh. Something bad hazard happening at the home.,hazmat unit x1; firetruck x1,7,2,"9686 Mission St, San Diego, CA",Hazard
"rescue problem at school, come quick.",rescue unit x1,3,2,"2203 Maple Ave, San Diego, CA",Rescue
Uh oh. Something bad accident happening at the beach.,ambulance x2; firetruck x1,5,2,"8359 Ocean View Way, San Diego, CA",Accident
plz accident road fast,ambulance x2; firetruck x1,8,2,"5717 Cedar Ln, San Diego, CA",Accident
accident?? school. hurry,ambulance x1; police unit x1,4,3,"6862 4th Ave, San Diego, CA",Accident
Uh oh. Something bad hazard happening at the beach.,hazmat unit x1; firetruck x1,12,2,"9075 Sunset Dr, San Diego, CA",Hazard
sos  hazard  b3ach  s3nd  h3lp,hazmat unit x1,10,3,"3535 4th Ave, San Diego, CA",Hazard
Uh oh. Something bad hazard happening at the store.,hazmat unit x1; firetruck x1,11,2,"2273 Pine Rd, San Diego, CA",Hazard
Uh oh. Something bad rescue happening at the road.,helicopter x1; rescue unit x1,5,2,"1990 Sunset Dr, San Diego, CA",Rescue
sos rescue park send help,helicopter x1; rescue unit x1,6,3,"8847 Cedar Ln, San Diego, CA",Rescue
natural  disast3r??  park.  hurry,rescue unit x2; firetruck x1,1,3,"6340 Pine Rd, San Diego, CA",Natural Disaster
"medical problem at beach, come quick.",ambulance x1,7,2,"4474 Pine Rd, San Diego, CA",Medical
??? crim3 h3r3,SWAT x1; police unit x2,7,2,"4935 Oak Blvd, San Diego, CA",Crime
"natural disaster problem at road, come quick.",helicopter x1; rescue unit x2,10,2,"7515 Maple Ave, San Diego, CA",Natural Disaster
Uh oh. Something bad rescue happening at the school.,rescue unit x1,4,2,"9295 Ocean View Way, San Diego, CA",Rescue
Uh oh. Something bad fire happening at the road.,firetruck x2,8,2,"869 Ocean View Way, San Diego, CA",Fire
sos accident park send help,ambulance x2; firetruck x1,4,3,"9146 Elm St, San Diego, CA",Accident
bad stuff at beach medical,ambulance x1,4,3,"7359 Oak Blvd, San Diego, CA",Medical
Uh oh. Something bad hazard happening at the beach.,hazmat unit x1; firetruck x1,13,2,"9740 Broadway, San Diego, CA",Hazard
"hazard problem at road, come quick.",hazmat unit x1,9,2,"4919 Mission St, San Diego, CA",Hazard
fire?? beach. hurry,firetruck x1,2,3,"2947 Broadway, San Diego, CA",Fire
"medical problem at park, come quick.",ambulance x2,5,2,"4672 Broadway, San Diego, CA",Medical
"crime problem at office, come quick.",SWAT x1; police unit x2,16,2,"4278 Elm St, San Diego, CA",Crime
Uh oh. Something bad crime happening at the park.,police unit x1,4,2,"754 Pine Rd, San Diego, CA",Crime
crime?? road. hurry,SWAT x1; police unit x2,12,3,"5034 Mission St, San Diego, CA",Crime
Uh oh. Something bad natural disaster happening at the road.,helicopter x1; rescue unit x2,3,2,"1294 Sunset Dr, San Diego, CA",Natural Disaster
"rescue problem at office, come quick.",rescue unit x1,4,2,"8376 Pine Rd, San Diego, CA",Rescue
"Emergency! Accident at my road. Need help ASAP, address included.",ambulance x2; firetruck x1,8,1,"1606 Sunset Dr, San Diego, CA",Accident
sos fire office send help,firetruck x2,8,3,"5524 Sunset Dr, San Diego, CA",Fire
Uh oh. Something bad crime happening at the office.,SWAT x1; police unit x2,11,2,"7880 Broadway, San Diego, CA",Crime
Uh oh. Something bad natural disaster happening at the school.,rescue unit x2; firetruck x1,4,2,"1979 Sunset Dr, San Diego, CA",Natural Disaster
sos accident office send help,ambulance x1; police unit x1,8,3,"753 Sunset Dr, San Diego, CA",Accident
accident?? school. hurry,ambulance x2; firetruck x1,5,3,"4303 Broadway, San Diego, CA",Accident
hazard?? store. hurry,hazmat unit x1; firetruck x1,10,3,"8526 Broadway, San Diego, CA",Hazard
I need help immediately at the park. There's a serious accident situation.,ambulance x2; firetruck x1,3,1,"3254 Sunset Dr, San Diego, CA",Accident
"rescue problem at home, come quick.",rescue unit x1,8,2,"8914 Broadway, San Diego, CA",Rescue
"medical problem at beach, come quick.",ambulance x1,6,2,"3592 Ocean View Way, San Diego, CA",Medical
natural  disaster??  home.  hurry,rescue unit x2; firetruck x1,6,3,"2619 Elm St, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe accident? at beach. Need someone here.",ambulance x1; police unit x1,7,2,"1533 Maple Ave, San Diego, CA",Accident
"Please send assistance to the office. It's a medical emergency, looks severe.",ambulance x1; rescue unit x1,11,1,"1254 4th Ave, San Diego, CA",Medical
"Not sure what's going on, maybe natural disaster? at office. Need someone here.",helicopter x1; rescue unit x2,6,2,"6457 Mission St, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe hazard? at park. Need someone here.",hazmat unit x1; firetruck x1,9,2,"376 Ocean View Way, San Diego, CA",Hazard
Uh oh. Something bad hazard happening at the home.,hazmat unit x1,9,2,"1136 4th Ave, San Diego, CA",Hazard
"medical problem at beach, come quick.",ambulance x2,8,2,"8338 Maple Ave, San Diego, CA",Medical
soscrim3schools3ndh3lp,police unit x2,8,3,"7270 Ocean View Way, San Diego, CA",Crime
"Emergency! Accident at my school. Need help ASAP, address included.",ambulance x1; police unit x1,5,1,"7865 Pine Rd, San Diego, CA",Accident
hlp  rescue  office,helicopter x1; rescue unit x1,4,2,"2460 Cedar Ln, San Diego, CA",Rescue
"Emergency! Hazard at my school. Need help ASAP, address included.",hazmat unit x1; firetruck x1,9,1,"282 Broadway, San Diego, CA",Hazard
natural disaster?? road. hurry,rescue unit x2; firetruck x1,4,3,"784 Elm St, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe rescue? at road. Need someone here.",rescue unit x1,7,2,"5092 Oak Blvd, San Diego, CA",Rescue
sos hazard beach send help,hazmat unit x1; firetruck x1,9,3,"3569 Ocean View Way, San Diego, CA",Hazard
sos hazard school send help,hazmat unit x1,8,3,"2737 Pine Rd, San Diego, CA",Hazard
"Please send assistance to the road. It's a fire emergency, looks severe.",firetruck x1,5,1,"1977 Pine Rd, San Diego, CA",Fire
"Emergency! Hazard at my school. Need help ASAP, address included.",hazmat unit x1,13,1,"9092 Mission St, San Diego, CA",Hazard
"hazard problem at road, come quick.",hazmat unit x1; firetruck x1,9,2,"1203 Cedar Ln, San Diego, CA",Hazard
Uh oh. Something bad medical happening at the office.,ambulance x1; rescue unit x1,5,2,"8082 Sunset Dr, San Diego, CA",Medical
sos crime office send help,SWAT x1; police unit x2,10,3,"3942 Maple Ave, San Diego, CA",Crime
crime?? road. hurry,police unit x2,8,3,"7483 Sunset Dr, San Diego, CA",Crime
bad stuff at beach rescue,rescue unit x1,6,3,"9366 4th Ave, San Diego, CA",Rescue
"Not sure what's going on, maybe crime? at school. Need someone here.",police unit x2,5,2,"2862 Elm St, San Diego, CA",Crime
"crime problem at office, come quick.",SWAT x1; police unit x2,9,2,"7245 Cedar Ln, San Diego, CA",Crime
"natural disaster problem at store, come quick.",helicopter x1; rescue unit x2,3,2,"7963 Mission St, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe accident? at store. Need someone here.",ambulance x2; firetruck x1,9,2,"9138 Maple Ave, San Diego, CA",Accident
sos fire beach send help,firetruck x1,4,3,"8924 Oak Blvd, San Diego, CA",Fire
Uh oh. Something bad crime happening at the beach.,police unit x1,6,2,"1335 Elm St, San Diego, CA",Crime
Uh oh. Something bad natural disaster happening at the road.,rescue unit x2; firetruck x1,6,2,"9633 4th Ave, San Diego, CA",Natural Disaster
Uh oh. Something bad accident happening at the school.,ambulance x1; police unit x1,8,2,"700 Broadway, San Diego, CA",Accident
Uh oh. Something bad crime happening at the road.,police unit x2,5,2,"2535 Sunset Dr, San Diego, CA",Crime
Uh oh. Something bad accident happening at the office.,ambulance x2; firetruck x1,9,2,"2293 Mission St, San Diego, CA",Accident
"rescue problem at road, come quick.",helicopter x1; rescue unit x1,4,2,"6061 Broadway, San Diego, CA",Rescue
I need help immediately at the beach. There's a serious medical situation.,ambulance x1; rescue unit x1,5,1,"2817 Broadway, San Diego, CA",Medical
hlp fir3 park,firetruck x1; ladder truck x1,7,2,"8021 Sunset Dr, San Diego, CA",Fire
bad stuff at office medical,ambulance x1,5,3,"1129 Cedar Ln, San Diego, CA",Medical
"crime problem at office, come quick.",SWAT x1; police unit x2,10,2,"3487 Broadway, San Diego, CA",Crime
"Not sure what's going on, maybe natural disaster? at store. Need someone here.",helicopter x1; rescue unit x2,5,2,"7548 Elm St, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe medical? at beach. Need someone here.",ambulance x1,5,2,"8642 Cedar Ln, San Diego, CA",Medical
"Not sure what's going on, maybe natural disaster? at beach. Need someone here.",rescue unit x2; firetruck x1,7,2,"6271 Ocean View Way, San Diego, CA",Natural Disaster
sos crime road send help,police unit x1,8,3,"8565 Cedar Ln, San Diego, CA",Crime
sos accident office send help,ambulance x2; firetruck x1,7,3,"5881 Sunset Dr, San Diego, CA",Accident
"Not sure what's going on, maybe accident? at school. Need someone here.",ambulance x1; police unit x1,9,2,"8322 Pine Rd, San Diego, CA",Accident
accident?? office. hurry,ambulance x1; police unit x1,5,3,"8530 Cedar Ln, San Diego, CA",Accident
"fire problem at office, come quick.",firetruck x1,5,2,"6034 4th Ave, San Diego, CA",Fire
"hazard problem at school, come quick.",hazmat unit x1,6,2,"6893 Sunset Dr, San Diego, CA",Hazard
bad  stuff  at  home  hazard,hazmat unit x1; firetruck x1,7,3,"3552 4th Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe fire? at beach. Need someone here.",firetruck x1,9,2,"4092 Elm St, San Diego, CA",Fire
Uh oh. Something bad fire happening at the road.,firetruck x1,5,2,"2307 Broadway, San Diego, CA",Fire
"medical problem at road, come quick.",ambulance x1,8,2,"2825 Cedar Ln, San Diego, CA",Medical
bad stuff at road fire,firetruck x1; ladder truck x1,6,3,"9334 Elm St, San Diego, CA",Fire
Uh oh. Something bad hazard happening at the beach.,hazmat unit x1; firetruck x1,11,2,"1504 Oak Blvd, San Diego, CA",Hazard
"Not sure what's going on, maybe accident? at road. Need someone here.",ambulance x2; firetruck x1,8,2,"2894 Oak Blvd, San Diego, CA",Accident
plz natural disast3r park fast,helicopter x1; rescue unit x2,7,2,"2847 Sunset Dr, San Diego, CA",Natural Disaster
sos accident road send help,ambulance x1; police unit x1,2,3,"3865 Ocean View Way, San Diego, CA",Accident
"accident problem at office, come quick.",ambulance x1; police unit x1,8,2,"3415 Broadway, San Diego, CA",Accident
Uh oh. Something bad natural disaster happening at the road.,helicopter x1; rescue unit x2,7,2,"2550 4th Ave, San Diego, CA",Natural Disaster
"Please send assistance to the office. It's a medical emergency, looks severe.",ambulance x1; rescue unit x1,8,1,"9927 Elm St, San Diego, CA",Medical
"Emergency! Natural Disaster at my road. Need help ASAP, address included.",rescue unit x2; firetruck x1,7,1,"1626 Mission St, San Diego, CA",Natural Disaster
Uh oh. Something bad hazard happening at the office.,hazmat unit x1,6,2,"7169 Broadway, San Diego, CA",Hazard
accident?? store. hurry,ambulance x2; firetruck x1,4,3,"3859 Mission St, San Diego, CA",Accident
"Please send assistance to the school. It's a natural disaster emergency, looks severe.",helicopter x1; rescue unit x2,5,1,"9750 4th Ave, San Diego, CA",Natural Disaster
"medical problem at park, come quick.",ambulance x2,7,2,"7917 Oak Blvd, San Diego, CA",Medical
"Not sure what's going on, maybe natural disaster? at home. Need someone here.",helicopter x1; rescue unit x2,9,2,"4323 Oak Blvd, San Diego, CA",Natural Disaster
sos medical beach send help,ambulance x1,6,3,"9569 Broadway, San Diego, CA",Medical
medical?? road. hurry,ambulance x2,3,3,"3465 Sunset Dr, San Diego, CA",Medical
accident?? store. hurry,ambulance x1; police unit x1,5,3,"7080 4th Ave, San Diego, CA",Accident
sos crime store send help,police unit x2,4,3,"9351 Sunset Dr, San Diego, CA",Crime
plzr3scu3stor3fast,helicopter x1; rescue unit x1,5,2,"9145 Broadway, San Diego, CA",Rescue
???  accident  here,ambulance x2; firetruck x1,7,2,"5124 4th Ave, San Diego, CA",Accident
Uh oh. Something bad crime happening at the school.,police unit x2,3,2,"2362 Maple Ave, San Diego, CA",Crime
bad stuff at office hazard,hazmat unit x1,8,3,"1742 Oak Blvd, San Diego, CA",Hazard
"Not sure what's going on, maybe rescue? at park. Need someone here.",rescue unit x1,8,2,"2733 Ocean View Way, San Diego, CA",Rescue
hlp hazard home,hazmat unit x1; firetruck x1,10,2,"1544 Maple Ave, San Diego, CA",Hazard
"Not sure what's going on, maybe crime? at office. Need someone here.",police unit x1,7,2,"718 Ocean View Way, San Diego, CA",Crime
Uh oh. Something bad accident happening at the road.,ambulance x2; firetruck x1,4,2,"9888 Elm St, San Diego, CA",Accident
natural disaster?? school. hurry,helicopter x1; rescue unit x2,4,3,"7292 Elm St, San Diego, CA",Natural Disaster
"Emergency! Fire at my school. Need help ASAP, address included.",firetruck x1; ladder truck x1,6,1,"4785 Oak Blvd, San Diego, CA",Fire
"Emergency! Medical at my school. Need help ASAP, address included.",ambulance x1; rescue unit x1,5,1,"8551 Oak Blvd, San Diego, CA",Medical
sos rescue office send help,rescue unit x1,2,3,"5993 Oak Blvd, San Diego, CA",Rescue
hlp hazard home,hazmat unit x1; firetruck x1,6,2,"5885 Ocean View Way, San Diego, CA",Hazard
"accident problem at road, come quick.",ambulance x1; police unit x1,7,2,"1224 Maple Ave, San Diego, CA",Accident
plz  rescue  store  fast,helicopter x1; rescue unit x1,7,2,"4630 Oak Blvd, San Diego, CA",Rescue
bad stuff at office rescue,helicopter x1; rescue unit x1,6,3,"9519 Elm St, San Diego, CA",Rescue
"Please send assistance to the office. It's a crime emergency, looks severe.",SWAT x1; police unit x2,11,1,"1844 Broadway, San Diego, CA",Crime
bad stuff at road medical,ambulance x2,4,3,"2017 Broadway, San Diego, CA",Medical
plzcrimeroadfast,police unit x2,4,2,"9326 Mission St, San Diego, CA",Crime
bad stuff at office natural disaster,helicopter x1; rescue unit x2,4,3,"7648 4th Ave, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe natural disaster? at home. Need someone here.",rescue unit x2; firetruck x1,6,2,"4324 Maple Ave, San Diego, CA",Natural Disaster
accident?? beach. hurry,ambulance x1; police unit x1,4,3,"5272 Ocean View Way, San Diego, CA",Accident
Uh oh. Something bad crime happening at the road.,police unit x1,6,2,"4414 Oak Blvd, San Diego, CA",Crime
bad  stuff  at  home  crime,police unit x1,8,3,"9185 Pine Rd, San Diego, CA",Crime
"Not sure what's going on, maybe accident? at store. Need someone here.",ambulance x1; police unit x1,6,2,"9499 Cedar Ln, San Diego, CA",Accident
Uh oh. Something bad fire happening at the beach.,firetruck x1,6,2,"8275 Oak Blvd, San Diego, CA",Fire
"fire problem at beach, come quick.",firetruck x2,6,2,"3487 Oak Blvd, San Diego, CA",Fire
fire?? school. hurry,firetruck x1; ladder truck x1,6,3,"5933 Pine Rd, San Diego, CA",Fire
natural disaster?? home. hurry,rescue unit x2; firetruck x1,6,3,"8971 Elm St, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe natural disaster? at park. Need someone here.",helicopter x1; rescue unit x2,5,2,"8166 4th Ave, San Diego, CA",Natural Disaster
"Not sure what's going on, maybe natural disaster? at store. Need someone here.",rescue unit x2; firetruck x1,2,2,"8474 Cedar Ln, San Diego, CA",Natural Disaster
sos accident office send help,ambulance x1; police unit x1,6,3,"987 Broadway, San Diego, CA",Accident
"Not sure what's going on, maybe natural disaster? at park. Need someone here.",rescue unit x2; firetruck x1,3,2,"8332 Sunset Dr, San Diego, CA",Natural Disaster
"Emergency! Accident at my school. Need help ASAP, address included.",ambulance x1; police unit x1,4,1,"7590 Maple Ave, San Diego, CA",Accident
"Not sure what's going on, maybe hazard? at road. Need someone here.",hazmat unit x1; firetruck x1,10,2,"237 Elm St, San Diego, CA",Hazard
bad stuff at office hazard,hazmat unit x1,13,3,"5431 Sunset Dr, San Diego, CA",Hazard
bad stuff at school rescue,rescue unit x1,7,3,"4513 Mission St, San Diego, CA",Rescue
"Please send assistance to the store. It's a rescue emergency, looks severe.",rescue unit x1,4,1,"8271 Ocean View Way, San Diego, CA",Rescue
"Emergency! Fire at my park. Need help ASAP, address included.",firetruck x2,5,1,"6081 Ocean View Way, San Diego, CA",Fire
"crime problem at park, come quick.",SWAT x1; police unit x2,10,2,"2248 4th Ave, San Diego, CA",Crime
"hazard problem at office, come quick.",hazmat unit x1; firetruck x1,11,2,"3963 Broadway, San Diego, CA",Hazard
"Not sure what's going on, maybe accident? at school. Need someone here.",ambulance x1; police unit x1,2,2,"2489 Pine Rd, San Diego, CA",Accident
I need help immediately at the school. There's a serious accident situation.,ambulance x1; police unit x1,2,1,"7006 Mission St, San Diego, CA",Accident
"Emergency! Fire at my school. Need help ASAP, address included.",firetruck x1; ladder truck x1,8,1,"8848 Sunset Dr, San Diego, CA",Fire
badstuffatparknaturaldisast3r,helicopter x1; rescue unit x2,5,3,"1721 Pine Rd, San Diego, CA",Natural Disaster
badstuffatoffic3m3dical,ambulance x2,5,3,"5583 Cedar Ln, San Diego, CA",Medical
sos crime store send help,SWAT x1; police unit x2,11,3,"4322 Sunset Dr, San Diego, CA",Crime
I need help immediately at the park. There's a serious medical situation.,ambulance x2,8,1,"3359 4th Ave, San Diego, CA",Medical
sos rescue beach send help,rescue unit x1,5,3,"4763 Sunset Dr, San Diego, CA",Rescue
plzcrimebeachfast,police unit x1,4,2,"6343 4th Ave, San Diego, CA",Crime
Uh oh. Something bad crime happening at the park.,police unit x1,9,2,"2845 Sunset Dr, San Diego, CA",Crime
sos  accident  beach  send  help,ambulance x1; police unit x1,4,3,"1396 Pine Rd, San Diego, CA",Accident
"Not sure what's going on, maybe crime? at office. Need someone here.",police unit x2,6,2,"4873 Cedar Ln, San Diego, CA",Crime
bad stuff at beach rescue,helicopter x1; rescue unit x1,6,3,"7389 Sunset Dr, San Diego, CA",Rescue
sos hazard road send help,hazmat unit x1; firetruck x1,9,3,"6882 Pine Rd, San Diego, CA",Hazard
"fire problem at school, come quick.",firetruck x1,6,2,"3944 Cedar Ln, San Diego, CA",Fire
sos hazard beach send help,hazmat unit x1,9,3,"3550 Pine Rd, San Diego, CA",Hazard
"accident problem at home, come quick.",ambulance x1; police unit x1,5,2,"7852 Broadway, San Diego, CA",Accident
bad stuff at home medical,ambulance x1; rescue unit x1,9,3,"1463 Maple Ave, San Diego, CA",Medical
"crime problem at road, come quick.",police unit x1,5,2,"6487 Cedar Ln, San Diego, CA",Crime
Uh oh. Something bad fire happening at the office.,firetruck x2,5,2,"7360 Pine Rd, San Diego, CA",Fire
I need help immediately at the road. There's a serious fire situation.,firetruck x1,6,1,"675 Sunset Dr, San Diego, CA",Fire
"Not sure what's going on, maybe natural disaster? at store. Need someone here.",helicopter x1; rescue unit x2,6,2,"8956 Cedar Ln, San Diego, CA",Natural Disaster
hlp  r3scu3  park,helicopter x1; rescue unit x1,3,2,"9340 Ocean View Way, San Diego, CA",Rescue
sos  rescue  beach  send  help,helicopter x1; rescue unit x1,6,3,"7991 Broadway, San Diego, CA",Rescue
I need help immediately at the school. There's a serious fire situation.,firetruck x2,10,1,"5144 Sunset Dr, San Diego, CA",Fire
"accident problem at store, come quick.",ambulance x2; firetruck x1,7,2,"272 Elm St, San Diego, CA",Accident
hlprescueschool,helicopter x1; rescue unit x1,4,2,"8867 Elm St, San Diego, CA",Rescue
bad stuff at park hazard,hazmat unit x1; firetruck x1,8,3,"249 Ocean View Way, San Diego, CA",Hazard
Uh oh. Something bad natural disaster happening at the store.,rescue unit x2; firetruck x1,5,2,"218 Broadway, San Diego, CA",Natural Disaster
???  crime  here,police unit x2,7,2,"4194 Pine Rd, San Diego, CA",Crime
soshazardbeachsendhelp,hazmat unit x1,10,3,"4408 Maple Ave, San Diego, CA",Hazard
I need help immediately at the beach. There's a serious accident situation.,ambulance x2; firetruck x1,4,1,"4764 Broadway, San Diego, CA",Accident
??? natural disast3r h3r3,rescue unit x2; firetruck x1,5,2,"2338 Cedar Ln, San Diego, CA",Natural Disaster
"Please send assistance to the beach. It's a medical emergency, looks severe.",ambulance x1; rescue unit x1,9,1,"7518 Cedar Ln, San Diego, CA",Medical
bad stuff at road hazard,hazmat unit x1,10,3,"2592 Elm St, San Diego, CA",Hazard
rescue?? home. hurry,rescue unit x1,5,3,"4722 Cedar Ln, San Diego, CA",Rescue
"Please send assistance to the beach. It's a fire emergency, looks severe.",firetruck x1; ladder truck x1,2,1,"234 Oak Blvd, San Diego, CA",Fire
"medical problem at office, come quick.",ambulance x2,6,2,"3658 Sunset Dr, San Diego, CA",Medical
"Please send assistance to the store. It's a accident emergency, looks severe.",ambulance x2; firetruck x1,6,1,"7697 Elm St, San Diego, CA",Accident
"crime problem at home, come quick.",police unit x1,5,2,"4466 Ocean View Way, San Diego, CA",Crime
"Not sure what's going on, maybe medical? at road. Need someone here.",ambulance x1,5,2,"3248 Cedar Ln, San Diego, CA",Medical
"natural disaster problem at park, come quick.",rescue unit x2; firetruck x1,5,2,"4178 Ocean View Way, San Diego, CA",Natural Disaster
"natural disaster problem at park, come quick.",rescue unit x2; firetruck x1,5,2,"3363 Mission St, San Diego, CA",Natural Disaster
I need help immediately at the school. There's a serious hazard situation.,hazmat unit x1,9,1,"7846 Ocean View Way, San Diego, CA",Hazard
??? hazard h3r3,hazmat unit x1,12,2,"4250 Mission St, San Diego, CA",Hazard
hazard?? store. hurry,hazmat unit x1; firetruck x1,8,3,"953 Oak Blvd, San Diego, CA",Hazard
sos medical office send help,ambulance x2,8,3,"5416 Elm St, San Diego, CA",Medical
???  fir3  h3r3,firetruck x2,12,2,"4082 Elm St, San Diego, CA",Fire
"Emergency! Medical at my road. Need help ASAP, address included.",ambulance x2,6,1,"9868 Pine Rd, San Diego, CA",Medical
"crime problem at school, come quick.",police unit x1,6,2,"2683 Mission St, San Diego, CA",Crime
Uh oh. Something bad medical happening at the beach.,ambulance x2,7,2,"1083 Elm St, San Diego, CA",Medical
"crime problem at beach, come quick.",SWAT x1; police unit x2,10,2,"8887 Maple Ave, San Diego, CA",Crime
"fire problem at park, come quick.",firetruck x2,5,2,"9248 Sunset Dr, San Diego, CA",Fire
Uh oh. Something bad natural disaster happening at the park.,rescue unit x2; firetruck x1,8,2,"449 Ocean View Way, San Diego, CA",Natural Disaster
"crime problem at beach, come quick.",police unit x2,1,2,"746 Mission St, San Diego, CA",Crime
Uh oh. Something bad hazard happening at the park.,hazmat unit x1; firetruck x1,10,2,"8992 Mission St, San Diego, CA",Hazard
"fire problem at road, come quick.",firetruck x1; ladder truck x1,5,2,"5796 Sunset Dr, San Diego, CA",Fire
"Please send assistance to the park. It's a hazard emergency, looks severe.",hazmat unit x1,11,1,"1228 Broadway, San Diego, CA",Hazard
bad stuff at park fire,firetruck x2,6,3,"8973 Sunset Dr, San Diego, CA",Fire
sos accident home send help,ambulance x2; firetruck x1,3,3,"3139 Elm St, San Diego, CA",Accident
bad stuff at school rescue,rescue unit x1,7,3,"5354 Maple Ave, San Diego, CA",Rescue
